D5PH9LN3
['Sep 15, 2022 @ 20:47:11.406', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 20:47:11.306', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 20:47:11.297', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 20:47:10.517', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 20:47:10.417', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 20:47:09.647', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 20:47:09.547', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 20:47:08.805', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 20:47:08.707', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 20:47:02.876', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 20:47:02.869', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 20:47:02.769', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 20:47:02.761', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 20:47:01.987', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 20:47:01.898', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 20:47:01.132', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 20:47:01.028', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 20:47:00.320', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 20:47:00.219', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']

ginger
['Sep 16, 2022 @ 18:05:35.084', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
